4.1667,1.3333,1.3333,0.16667,1.3333,1.8333,2,2.8333,2.1667,1.6667,0.66667,0.33333,1.5,0.16667,0.83333,0.83333,1.1667,0.66667,3,1.3333,2.5,1.1667,2.3333,0.83333
4.3333,1.6667,2,0.0016,1.3333,3.6667,1.8333,2,2.5,2,0.16667,0.0016,1,0.0016,1.5,1.3333,0.83333,0.0016,2.6667,1.5,2.1667,2.3333,1.6667,0.33333
4,1.6667,2,0.33333,1.5,2,1.5,2.3333,2.8333,1.8333,0.33333,0.0016,2.3333,1.1667,1.6667,0.5,1.1667,0.0016,2.3333,0.83333,1.5,2,1.1667,1.1667
4.1667,1.8333,1.6667,0.33333,2,1.5,1.6667,2.1667,3.3333,1.6667,0.5,0.0016,1.8333,0.5,0.83333,0.66667,0.83333,0.0016,3.1667,0.83333,1.6667,1.1667,1.6667,1
3.8333,1.5,1.5,0.0016,2.1667,2.8333,1.3333,2.1667,2.8333,1.6667,0.33333,0.33333,2.1667,0.66667,0.83333,0.16667,2.3333,0.0016,2.6667,1.1667,1.8333,0.33333,0.16667,0.83333
3.3333,1.5,2,0.0016,2,1.8333,1.5,2.5,2.6667,1.5,0.16667,0.33333,2.6667,0.0016,1.5,0.83333,2.6667,0.0016,2.6667,1.1667,2.1667,0.5,0.0016,0.33333
1.8333,1.5,1.6667,0.5,2,2.5,1.1667,2.1667,1.5,1.5,0.83333,0.0016,2.6667,0.16667,0.83333,0.0016,2.8333,0.0016,2.1667,0.83333,2.3333,0.0016,1,0.5
2.5,2,1.5,0.5,2,3,1,2.6667,2.8333,1.3333,0.83333,0.0016,1.6667,0.0016,0.5,0.0016,3.6667,0.0016,2.6667,1,2.1667,0.66667,0.83333,0.0016
2.6667,1.5,1.1667,0.0016,1.6667,1.8333,1,2.1667,2.5,1.1667,1,0.33333,2,0.0016,2.6667,1.8333,4.3333,0.0016,2.5,1.8333,2.1667,0.5,1.3333,0.0016
2,1.5,1.3333,0.16667,1.8333,1.8333,1,2,1,1.1667,0.66667,0.16667,2.1667,0.0016,0.83333,0.33333,3.5,0.0016,2.1667,1.6667,1.6667,0.0016,0.5,1.1667
1.5,1.1667,1.1667,0.5,1.5,3.6667,1,2,2.8333,1.8333,0.33333,0.0016,1.5,0.0016,1.6667,0.0016,3.8333,0.0016,2,1.8333,1.5,0.0016,0.0016,1
1.5,1.1667,1.3333,0.66667,1.3333,2,1.8333,2.8333,1.8333,2,0.66667,0.0016,2.3333,0.0016,0.83333,0.0016,3.3333,0.0016,2.5,1.1667,1.8333,0.0016,0.0016,0.33333
1.1667,2,1.5,0.0016,1.8333,2,0.16667,2.5,1.8333,1.1667,0.5,0.0016,2.8333,0.0016,2,0.0016,2.6667,0.0016,1.6667,1.1667,0.66667,0.0016,1.6667,0.5
1.1667,2.1667,1,0.16667,5,2.5,1.3333,2.1667,1.6667,1.8333,0.16667,0.0016,1.8333,0.0016,1.8333,0.0016,2.6667,0.0016,1.8333,0.66667,0.83333,0.16667,0.66667,0.33333
1.3333,1.8333,1.1667,0.0016,5.6667,1.8333,1.6667,2.1667,2.8333,1.3333,1,0.33333,2.3333,0.0016,1.8333,0.5,2.3333,0.0016,0.83333,0.83333,0.66667,0.0016,0.0016,1
1.6667,2,1.5,0.66667,5.5,3.5,1.1667,2.1667,1.8333,1.5,0.5,0.33333,2.6667,0.0016,1.5,0.5,1.3333,0.0016,1.6667,0.83333,1,1,0.33333,0.5
2.3333,1.8333,0.83333,0.33333,5.6667,1.1667,1.8333,2.1667,2,1.3333,1,0.0016,2.6667,0.83333,1.8333,0.0016,1.1667,0.0016,0.66667,0.16667,1.3333,0.66667,1,0.5
2,2.1667,1,0.16667,5.5,2.1667,2,2.1667,2.3333,1.1667,0.33333,0.16667,2.8333,0.0016,0.66667,0.0016,1,0.0016,1.3333,0.83333,2,0.5,0.0016,0.33333
2.1667,1.3333,1.1667,0.0016,5.5,2,1.1667,2.8333,1.8333,2,0.33333,0.0016,2.1667,0.0016,2.5,0.0016,0.83333,0.0016,1.1667,0.83333,1.1667,0.0016,0.66667,0.66667
1.6667,1.1667,1.3333,0.33333,5.5,1,1,2.1667,2,1.5,0.66667,0.0016,1.1667,0.0016,0.5,0.0016,0.66667,0.0016,0.66667,0.16667,1.3333,0.33333,0.0016,1
2.3333,1.3333,1.5,0.0016,5.6667,2.5,0.33333,2.1667,2.8333,1.5,0.83333,1.1667,1.3333,0.0016,1,0.66667,0.5,0.0016,0.83333,0.33333,1,1.1667,0.0016,1.1667
1.8333,1.1667,1.5,0.0016,5.5,3,0.0016,2.1667,2.5,1.1667,0.5,2.1667,1.1667,0.5,1.8333,0.0016,0.66667,0.0016,1.5,0.33333,1.1667,0.5,0.0016,1
